EAST,NORTH,RL,HOLEID,PL_CU,lookup_domain
1995.79,517.77,464.75,0202231031-17929,0.73,3310
2289.47,735.89,418.35,0204041162-24522,0.432,3321
2315.97,730.53,419.0,0204041162-24523,0.426,3521
2230.69,673.69,419.54,0204081031-24517,0.656,3310
1962.81,514.51,464.58,0202231031-17930,0.661,3310
2296.02,705.11,419.72,0204041162-24521,0.746,3521
1096.64,650.83,362.42,0206071162-33566,0.908,2310
1141.73,631.34,363.23,0206071162-33570,0.851,2310
840.55,747.66,360.77,0206071162-33777,0.891,2310
1130.67,691.88,364.46,0205230908-31654,0.869,2310
1261.06,663.01,363.9,0205230908-31671,0.965,2310
991.5,701.65,362.69,0206071162-34176,0.824,2310
1000.37,683.03,362.44,0206071162-34177,0.894,2310
1156.98,684.84,364.54,0205230908-31653,0.767,2310
1234.48,657.35,364.13,0205230908-31672,0.842,2310
1620.18,644.02,365.08,0206201162-35899,0.712,3310
1572.84,644.37,364.66,0206201162-35904,0.694,3310
1794.74,643.55,363.36,0206240658-35983,0.776,3310
1668.16,628.84,364.04,0206240658-35994,0.64,3310
1065.06,669.11,362.75,0206071162-33564,0.907,2310
1132.29,648.33,362.81,0206071162-33569,0.969,2310
751.63,785.67,361.22,0206071162-33769,0.673,2310
953.83,705.87,361.27,0206071162-34173,0.909,2310
1205.94,664.97,364.29,0205230908-31659,0.762,2310
1286.97,667.29,364.39,0205230908-31669,0.872,2310
773.78,773.7,361.01,0206071162-33768,0.774,2310
906.25,720.7,360.49,0206071162-34169,1.041,2310
945.94,719.23,361.41,0206071162-34172,0.681,2310
1264.25,617.08,364.5,0206111202-33887,0.706,2310
1276.3,626.98,364.89,0206111202-34431,0.602,2310
1347.6,632.79,364.75,0206111202-34437,0.89,3310
1363.54,617.88,365.23,0206111202-34438,0.837,3310
1491.74,615.3,364.32,0206190961-34743,0.672,3310
2148.19,738.67,364.48,0206201161-35895,0.811,3521
2077.98,715.55,362.84,0206201535-35911,0.672,3210
1195.56,614.55,364.16,0206111202-33882,0.776,2310
1085.2,663.92,362.73,0206071162-33565,1.029,2310
1180.99,634.94,363.05,0206071162-33573,0.851,2310
682.44,825.93,362.11,0206071162-33605,0.589,2310
796.09,763.01,361.11,0206071162-33773,0.69,2310
1467.45,616.04,364.45,0206190961-34741,0.551,3310
2126.05,726.39,363.13,0206201535-35915,0.58,3210
1737.47,633.0,363.35,0206240658-35988,0.559,3310
2024.16,693.34,362.86,0206240658-35997,1.635,3310
1251.79,625.0,364.12,0206111202-33886,0.754,2310
1441.28,614.75,364.44,0206190961-34739,0.639,3310
1473.2,633.67,363.48,0206190961-34742,0.618,3310
1761.76,633.4,364.08,0206240658-35986,0.719,3310
1109.61,655.88,362.75,0206071162-33567,0.889,2310
1163.61,623.28,363.08,0206071162-33572,0.677,2310
703.17,816.64,361.94,0206071162-33607,0.554,2310
788.88,784.97,361.18,0206071162-33772,0.568,2310
817.43,755.61,360.76,0206071162-33775,0.758,2310
1041.33,680.42,362.69,0206071162-34180,0.846,2310
1048.58,666.76,362.33,0206071162-34181,0.881,2310
2251.43,695.87,419.38,0204041162-24518,0.574,3321
2273.57,730.93,418.51,0204041162-24539,0.41,3321
1317.03,617.55,366.0,0206111202-34434,0.706,2310
1341.82,617.23,365.54,0206111202-34436,0.764,2310
1565.07,628.71,364.52,0206201162-35905,0.692,3310
1687.84,631.15,364.12,0206240658-35992,0.612,3310
1391.77,694.78,309.06,0209041620-48373,0.748,3310
1235.8,711.28,309.05,0209041620-48385,0.979,2310
2278.23,685.69,419.48,0204041162-24519,0.376,3321
2276.46,712.99,419.12,0204041162-24520,0.376,3321
1365.35,692.17,308.83,0209041620-48375,0.707,3310
1068.39,657.15,362.27,0206071162-33563,0.884,2310
719.92,824.25,362.11,0206071162-33608,0.626,2310
858.82,738.39,360.41,0206071162-33779,1.07,2310
901.85,740.92,360.89,0206071162-34168,0.896,2310
929.16,712.92,361.03,0206071162-34171,0.776,2310
1018.39,686.7,362.64,0206071162-34178,0.797,2310
977.82,757.17,311.09,0209171156-50538,0.933,2310
947.89,764.3,310.7,0209171156-50541,0.819,2310
1313.63,689.29,308.74,0209041620-48379,0.655,2310
1005.21,754.51,311.1,0209171156-50535,0.864,2310
961.88,759.78,311.42,0209171156-50539,0.756,2310
830.89,822.33,309.24,0209171156-50555,0.633,2310
792.34,824.55,310.36,0209171156-50560,0.788,2310
1025.95,746.68,311.29,0209171156-50534,0.921,2310
983.29,763.97,311.73,0209171156-50537,0.866,2310
920.55,784.75,310.96,0209171156-50545,0.754,2310
1118.17,641.04,363.0,0206071162-33568,1.085,2310
1202.95,634.09,363.49,0206071162-33574,0.688,2310
725.49,804.56,361.87,0206071162-33609,0.621,2310
969.74,710.78,362.23,0206071162-34174,0.828,2310
977.36,695.7,361.78,0206071162-34175,0.719,2310
1243.79,613.43,365.02,0206111202-33885,0.722,2310
1291.67,614.69,365.84,0206111202-34432,0.72,2310
1228.66,626.52,364.27,0206111202-33884,0.76,2310
1299.99,630.91,365.07,0206111202-34433,0.669,2310
1140.4,696.84,308.21,0209201546-50986,0.883,2310
1289.19,693.3,308.13,0209041620-48381,0.759,2310
1417.34,614.06,365.56,0206190961-34738,0.633,3310
1637.35,628.17,364.36,0206201162-35901,0.617,3310
1839.08,640.8,363.49,0206240658-35980,0.768,3310
1816.22,636.3,363.53,0206240658-35982,0.742,3310
2008.3,690.85,362.82,0206240658-35999,0.63,3310
1937.49,662.87,363.21,0206240658-36004,0.648,3310
909.4,781.1,310.92,0209171156-50546,0.686,2310
2010.21,716.39,309.43,0209290929-52471,0.766,3210
1992.39,719.14,307.85,0209290929-52473,0.932,3210
1903.06,677.18,308.63,0209290929-52482,0.634,3310
1902.26,690.29,308.72,0209290929-52483,0.612,3310
1880.78,674.5,308.98,0209290929-52485,0.648,3310
1698.38,653.21,310.03,0209290929-52506,0.629,3310
1574.4,648.77,309.2,0209290929-52520,0.536,3310
1544.17,648.72,308.23,0209290929-52524,0.515,3310
1510.66,649.93,306.87,0209290929-52527,0.523,3310
1314.51,648.68,307.09,0209290929-52548,0.688,2310
1169.18,678.66,307.4,0209201546-50990,0.747,2310
1181.81,675.16,306.74,0209201546-50992,0.754,2310
1255.22,649.11,307.3,0209201546-50999,0.724,2310
1269.28,658.86,307.43,0209201546-51000,0.596,2310
797.22,820.12,309.68,0209151210-50274,0.945,2310
1000.73,742.23,310.92,0209171156-50532,0.958,2310
1016.27,737.85,311.33,0209171156-50533,0.909,2310
1447.55,634.56,364.2,0206190961-34740,0.887,3310
1594.21,626.44,364.35,0206201162-35903,0.53,3310
1518.63,620.37,364.54,0206201162-35910,0.533,3310
1907.4,656.59,363.57,0206240658-35974,0.55,3310
1862.34,638.46,364.59,0206240658-35978,0.703,3310
1787.02,632.83,363.77,0206240658-35984,0.699,3310
1889.55,677.31,308.54,0209290929-52484,0.514,3310
1804.18,658.47,308.37,0209290929-52494,0.658,3310
1726.66,655.97,309.4,0209290929-52502,0.455,3310
1690.8,651.73,310.34,0209290929-52507,0.499,3310
1601.82,652.31,309.88,0209290929-52517,0.512,3310
1556.71,650.69,308.58,0209290929-52522,0.691,3310
1473.66,658.57,306.69,0209290929-52531,0.797,3310
1374.21,642.21,306.38,0209290929-52542,0.74,3310
1358.63,639.83,306.85,0209290929-52543,0.624,3310
991.56,750.24,311.2,0209171156-50536,0.949,2310
934.4,770.76,310.77,0209171156-50543,0.989,2310
1048.24,740.14,310.78,0209171156-50563,0.927,2310
1057.78,724.47,310.75,0209171156-50564,0.849,2310
1085.49,712.92,310.43,0209171156-50566,0.973,2310
784.09,830.11,309.85,0209151210-50275,0.296,2310
820.98,813.93,310.25,0209171156-50556,0.642,2310
1035.08,731.05,310.98,0209171156-50561,0.875,2310
2067.53,736.66,309.5,0209290929-52465,0.851,3210
1945.36,709.48,309.5,0209290929-52478,0.723,3310
1880.57,687.09,309.12,0209290929-52486,0.496,3310
1846.16,672.85,308.63,0209290929-52490,0.697,3310
1818.79,655.69,309.08,0209290929-52492,0.632,3310
1664.4,670.56,310.09,0209290929-52510,0.528,3310
1527.32,644.91,307.73,0209290929-52525,0.463,3310
1468.65,644.88,306.67,0209290929-52532,0.683,3310
1117.77,709.45,308.69,0209201546-50985,0.931,2310
1202.95,669.75,306.64,0209201546-50994,0.611,2310
1135.23,693.12,308.27,0209201546-50983,0.828,2310
