X,Y,Z,MINED,cu_bh_nn,cu_50,domain
1082.5,657.5,162.5,14,0.667,0.602,2310
1082.5,682.5,162.5,14,0.691,0.619,2310
1107.5,657.5,162.5,14,0.803,0.602,2310
1107.5,682.5,162.5,14,0.803,0.619,2310
1132.5,632.5,162.5,14,0.495,0.586,2310
1132.5,657.5,162.5,14,0.531,0.586,2310
1132.5,682.5,162.5,14,0.531,0.594,2310
1157.5,632.5,162.5,14,0.542,0.586,2310
1157.5,657.5,162.5,14,0.542,0.586,2310
1182.5,607.5,162.5,14,0.441,0.571,2310
1182.5,632.5,162.5,14,0.542,0.588,2310
1182.5,657.5,162.5,14,0.542,0.588,2310
1207.5,607.5,162.5,14,0.61,0.571,2310
1207.5,632.5,162.5,14,0.547,0.588,2310
1207.5,657.5,162.5,14,0.547,0.588,2310
1232.5,607.5,162.5,14,0.61,0.566,2310
1232.5,632.5,162.5,14,0.509,0.584,2310
1257.5,607.5,162.5,14,0.509,0.566,2310
1257.5,632.5,162.5,14,0.509,0.584,2310
1382.5,757.5,112.5,14,0.522,0.605,3310
1382.5,782.5,112.5,14,0.51,0.587,3310
1407.5,657.5,162.5,14,0.594,0.573,3310
1407.5,707.5,112.5,14,0.618,0.599,3310
1407.5,732.5,112.5,14,0.618,0.605,3310
1407.5,757.5,112.5,14,0.611,0.605,3310
1407.5,782.5,112.5,14,0.54,0.587,3310
1407.5,807.5,112.5,14,0.661,0.587,3310
1407.5,832.5,112.5,14,0.699,0.643,3310
1407.5,857.5,112.5,13,0.47,0.643,3210
1407.5,882.5,112.5,13,0.648,0.691,3210
1432.5,657.5,162.5,13,0.632,0.592,3310
1432.5,707.5,112.5,14,0.535,0.578,3310
1432.5,732.5,112.5,14,0.508,0.594,3310
1432.5,757.5,112.5,14,0.552,0.594,3310
1432.5,782.5,112.5,14,0.912,0.6,3310
1432.5,807.5,112.5,14,0.566,0.6,3310
1432.5,832.5,112.5,13,0.625,0.599,3310
1432.5,857.5,112.5,13,0.622,0.599,3210
1432.5,882.5,112.5,13,0.523,0.588,3210
1457.5,657.5,162.5,13,0.53,0.592,3310
1457.5,707.5,112.5,14,0.535,0.578,3310
1457.5,732.5,112.5,14,0.555,0.594,3310
1457.5,757.5,112.5,14,0.527,0.594,3310
1457.5,782.5,112.5,14,0.589,0.6,3310
1457.5,807.5,112.5,14,0.594,0.6,3310
1457.5,832.5,112.5,13,0.647,0.599,3310
1457.5,857.5,112.5,13,0.624,0.599,3310
1457.5,882.5,112.5,13,0.613,0.588,3310
1482.5,657.5,162.5,13,0.505,0.585,3310
1482.5,707.5,112.5,14,0.534,0.566,3310
1482.5,732.5,112.5,14,0.783,0.593,3310
1482.5,757.5,112.5,14,0.547,0.593,3310
1482.5,782.5,112.5,14,0.567,0.599,3310
1482.5,807.5,112.5,14,0.647,0.599,3310
1482.5,832.5,112.5,13,0.648,0.623,3310
1482.5,857.5,112.5,13,0.701,0.623,3310
1482.5,882.5,112.5,13,0.637,0.592,3310
1507.5,657.5,162.5,13,0.561,0.585,3310
1507.5,707.5,112.5,14,0.539,0.566,3310
1507.5,732.5,112.5,14,0.502,0.593,3310
1507.5,757.5,112.5,14,0.595,0.593,3310
1507.5,782.5,112.5,14,0.59,0.599,3310
1507.5,807.5,112.5,14,0.697,0.599,3310
1507.5,832.5,112.5,13,0.731,0.623,3310
1507.5,857.5,112.5,13,0.655,0.623,3310
1507.5,882.5,112.5,13,0.657,0.592,3310
1532.5,632.5,162.5,13,0.543,0.581,3310
1532.5,682.5,112.5,14,0.544,0.548,3310
1532.5,707.5,112.5,14,0.544,0.548,3310
1532.5,732.5,112.5,14,0.621,0.584,3310
1532.5,757.5,112.5,14,0.596,0.584,3310
1532.5,782.5,112.5,14,0.563,0.587,3310
1532.5,807.5,112.5,14,0.555,0.587,3310
1532.5,832.5,112.5,13,0.633,0.613,3310
1532.5,857.5,112.5,13,0.611,0.613,3310
1532.5,882.5,112.5,13,0.546,0.677,3310
1557.5,682.5,112.5,14,0.527,0.548,3310
1557.5,707.5,112.5,14,0.527,0.548,3310
1557.5,732.5,112.5,14,0.638,0.584,3310
1557.5,757.5,112.5,14,0.53,0.584,3310
1557.5,782.5,112.5,14,0.572,0.587,3310
1557.5,807.5,112.5,14,0.53,0.587,3310
1557.5,832.5,112.5,13,0.581,0.613,3310
1557.5,857.5,112.5,13,0.594,0.613,3310
1557.5,882.5,112.5,13,0.896,0.677,3310
1582.5,682.5,112.5,14,0.459,0.54,3310
1582.5,707.5,112.5,14,0.459,0.54,3310
1582.5,732.5,112.5,14,0.501,0.602,3310
1582.5,757.5,112.5,14,0.493,0.602,3310
1582.5,782.5,112.5,14,0.552,0.605,3310
1582.5,807.5,112.5,14,0.627,0.605,3310
1582.5,832.5,112.5,13,0.607,0.628,3310
1582.5,857.5,112.5,13,0.476,0.628,3310
1582.5,882.5,112.5,13,0.587,0.605,3310
1607.5,607.5,162.5,13,0.591,0.56,3310
1607.5,657.5,112.5,14,0.419,0.527,3310
1607.5,682.5,112.5,14,0.419,0.54,3310
1607.5,707.5,112.5,14,0.404,0.54,3310
1607.5,732.5,112.5,14,0.536,0.602,3310
1607.5,757.5,112.5,14,0.635,0.602,3310
1607.5,782.5,112.5,14,0.512,0.605,3310
1607.5,807.5,112.5,14,0.53,0.605,3310
1607.5,832.5,112.5,13,0.493,0.628,3310
1607.5,857.5,112.5,13,0.545,0.628,3310
1607.5,882.5,112.5,13,0.533,0.605,3310
1632.5,607.5,162.5,13,0.484,0.553,3310
1632.5,657.5,112.5,14,0.419,0.517,3310
1632.5,682.5,112.5,14,0.419,0.531,3310
1632.5,707.5,112.5,14,0.419,0.531,3310
1632.5,732.5,112.5,14,0.487,0.581,3310
1632.5,757.5,112.5,14,0.467,0.581,3310
1632.5,782.5,112.5,14,0.611,0.637,3310
1632.5,807.5,112.5,14,0.634,0.637,3310
1632.5,832.5,112.5,13,0.508,0.617,3310
1632.5,857.5,112.5,13,0.578,0.617,3310
1632.5,882.5,112.5,13,0.56,0.6,3310
1657.5,607.5,162.5,13,0.515,0.553,3310
1657.5,682.5,112.5,14,0.475,0.531,3310
1657.5,707.5,112.5,14,0.359,0.531,3310
1657.5,732.5,112.5,14,0.411,0.581,3310
1657.5,757.5,112.5,14,0.449,0.581,3310
1657.5,782.5,112.5,14,0.698,0.637,3310
1657.5,807.5,112.5,14,0.593,0.637,3310
1657.5,832.5,112.5,13,0.607,0.617,3310
1657.5,857.5,112.5,13,0.487,0.617,3310
1657.5,882.5,112.5,13,0.574,0.6,3310
1682.5,607.5,162.5,13,0.515,0.53,3310
1682.5,682.5,112.5,15,0.477,0.552,3310
1682.5,707.5,112.5,15,0.417,0.552,3310
1682.5,732.5,112.5,14,0.542,0.578,3310
1682.5,757.5,112.5,14,0.585,0.578,3310
1682.5,782.5,112.5,14,0.655,0.623,3310
1682.5,807.5,112.5,14,0.709,0.623,3310
1682.5,832.5,112.5,13,0.807,0.633,3310
1682.5,857.5,112.5,13,0.67,0.633,3310
1682.5,882.5,112.5,13,0.603,0.606,3310
1707.5,607.5,162.5,13,0.524,0.53,3310
1707.5,657.5,112.5,15,0.477,0.507,3310
1707.5,682.5,112.5,15,0.568,0.552,3310
1707.5,707.5,112.5,15,0.568,0.552,3310
1707.5,732.5,112.5,15,0.575,0.578,3310
1707.5,757.5,112.5,15,0.612,0.578,3310
