# mA,domain,n_blastholes,n_inference_pts,percentile(2.15),percentile(8.87),percentile(25),percentile(50),percentile(75),percentile(91.13),percentile(97.85)
4,2210,76,66,0.38777,0.428,0.44875,0.492,0.53475,0.606221,0.723665
4,2310,641,863,0.428066,0.483,0.547,0.61,0.6925,0.782541,0.892
4,3016,67,28,0.38761,0.481134,0.51975,0.6265,0.956,1.53612,2.41607
4,3026,1078,555,0.057733,0.0931398,0.139,0.203,0.274,0.364301,0.475534
4,3110,630,91,0.07661,0.103949,0.14,0.164,0.2105,0.252221,0.328
4,3121,428,165,0.045,0.0525468,0.063,0.08,0.108,0.162626,0.214896
4,3210,1615,636,0.128653,0.191,0.29875,0.401,0.5,0.596,0.725127
4,3221,300,235,0.069124,0.0947558,0.1285,0.21,0.341,0.472488,0.64307
4,3310,772,1085,0.37553,0.439151,0.499,0.571,0.648,0.748,0.953
4,3321,14,49,0.237896,0.340182,0.376,0.476,0.562,0.693485,0.857592
4,3521,1352,769,0.038,0.0621216,0.115,0.187,0.27,0.435,0.67188
5,2210,66,30,0.408563,0.429289,0.45825,0.5005,0.54875,0.628982,0.717789
5,2310,837,892,0.437782,0.506,0.575,0.6385,0.705,0.788968,0.89
5,3016,81,8,0.414512,0.472371,0.519,0.6355,0.684,1.44978,2.39999
5,3026,1307,552,0.075693,0.117,0.165,0.226,0.28825,0.373,0.481228
5,3110,634,24,0.084912,0.0982406,0.118,0.166,0.19175,0.285516,0.30867
5,3121,469,162,0.0474615,0.0522807,0.067,0.083,0.11275,0.155,0.221847
5,3210,1659,422,0.118051,0.171685,0.31325,0.4105,0.50525,0.606916,0.739794
5,3221,418,250,0.0944745,0.116,0.1535,0.2425,0.367,0.473827,0.622404
5,3310,1312,1153,0.371768,0.433,0.491,0.563,0.642,0.747818,0.96564
5,3321,61,101,0.2599,0.31987,0.376,0.446,0.539,0.753,0.85275
5,3521,1750,770,0.0515335,0.0814206,0.138,0.206,0.295,0.503687,0.824665
6,2210,114,37,0.413186,0.427773,0.463,0.504,0.561,0.636943,0.713876
6,2310,1249,970,0.402168,0.501,0.56925,0.641,0.71075,0.803,0.931333
6,3016,86,10,0.389548,0.394386,0.483,0.553,0.684,1.09143,2.31313
6,3026,1367,429,0.087,0.133927,0.17,0.226,0.287,0.362036,0.489576
6,3110,660,19,0.087449,0.10579,0.127,0.175,0.2095,0.28942,0.312003
6,3121,518,155,0.048622,0.0543196,0.069,0.086,0.1115,0.14634,0.221024
6,3210,1895,411,0.117705,0.247,0.348,0.429,0.523,0.675899,0.878105
6,3221,468,239,0.092819,0.129221,0.2025,0.306,0.426,0.544,0.644415
6,3310,2000,1144,0.360298,0.431384,0.489,0.5625,0.635,0.730232,0.986957
6,3321,59,104,0.263003,0.312953,0.385,0.4535,0.566,0.757864,0.946903
6,3521,1874,735,0.049781,0.0843174,0.1425,0.218,0.3335,0.521894,0.82219
7,2210,109,16,0.437802,0.47133,0.5025,0.556,0.60325,0.672127,0.687
7,2310,1559,921,0.4148,0.498,0.574,0.64,0.705,0.778396,0.85642
7,3016,86,2,0.389785,0.395362,0.40875,0.4295,0.45025,0.463638,0.469215
7,3026,1653,539,0.099536,0.134,0.1685,0.226,0.287,0.361279,0.469928
7,3110,660,1,0.132,0.132,0.132,0.132,0.132,0.132,0.132
7,3121,637,113,0.050408,0.0599344,0.072,0.091,0.115,0.151066,0.22
7,3210,2025,313,0.080124,0.134349,0.289,0.405,0.492,0.650279,0.881636
7,3221,631,286,0.086,0.14028,0.19925,0.2895,0.40525,0.541441,0.644363
7,3310,2351,791,0.358,0.423219,0.484,0.552,0.6215,0.728927,1.14222
7,3321,143,108,0.264207,0.312,0.3815,0.451,0.566,0.778873,0.955472
7,3521,2319,780,0.059,0.093,0.1535,0.229,0.34425,0.549805,0.95776
8,2210,130,15,0.436749,0.471242,0.506,0.561,0.6245,0.687,0.687
8,2310,1844,762,0.417,0.503,0.575,0.652,0.73175,0.820999,0.926831
8,3016,86,2,0.389785,0.395362,0.40875,0.4295,0.45025,0.463638,0.469215
8,3026,1794,321,0.109,0.131,0.166,0.219,0.275,0.374008,0.47916
8,3110,661,1,0.132,0.132,0.132,0.132,0.132,0.132,0.132
8,3121,666,40,0.054354,0.0604593,0.073,0.091,0.116,0.145622,0.22
8,3210,2153,273,0.018,0.126632,0.254,0.431,0.563,0.757,1.05834
8,3221,699,297,0.085364,0.185766,0.258,0.334,0.44,0.55849,0.7059
8,3310,2894,855,0.364083,0.446,0.509,0.572,0.6435,0.758001,1.15158
8,3321,195,68,0.264846,0.299258,0.36825,0.4485,0.52775,0.710514,0.970152
8,3521,2599,586,0.068155,0.105779,0.166,0.2525,0.35375,0.521111,0.84076
9,2210,121,9,0.579,0.579,0.588,0.687,0.687,0.757227,0.766904
9,2310,2150,772,0.463,0.526388,0.58275,0.6485,0.724,0.802,0.878658
9,3026,1984,242,0.112,0.128377,0.162,0.2185,0.2725,0.364117,0.43
9,3121,685,19,0.054483,0.0605966,0.068,0.077,0.1195,0.19017,0.22
9,3210,2216,218,0.018,0.125,0.23875,0.409,0.51575,0.680504,0.99469
9,3221,804,257,0.079008,0.172414,0.235,0.31,0.398,0.480878,0.698872
9,3310,3069,615,0.394804,0.447924,0.504,0.57,0.651,0.778538,1.27399
9,3321,208,28,0.272161,0.292134,0.36175,0.436,0.51075,0.625599,0.782324
9,3521,2718,373,0.068996,0.097,0.162,0.24,0.33,0.479032,0.897118
10,2210,123,5,0.594536,0.614965,0.664,0.687,0.752,0.763614,0.768452
10,2310,2345,612,0.446184,0.528,0.58875,0.6565,0.732,0.812609,0.890727
10,3026,1990,118,0.107547,0.137378,0.16625,0.212,0.2655,0.375599,0.457926
10,3210,2353,209,0.107832,0.191046,0.389,0.497,0.635,0.852752,1.20578
10,3221,926,277,0.169934,0.229481,0.298,0.357,0.432,0.517669,0.727144
10,3310,3444,760,0.416637,0.461323,0.516,0.576,0.65,0.758677,1.1604
10,3321,224,36,0.272505,0.302508,0.36775,0.418,0.4835,0.596984,0.65189
10,3521,2959,295,0.085963,0.123078,0.1925,0.276,0.3555,0.472378,0.697
11,2210,123,4,0.592902,0.608224,0.645,0.708,0.7565,0.76521,0.768839
11,2310,2531,436,0.444,0.525169,0.579,0.639,0.6975,0.771,0.824
11,3026,2014,114,0.097859,0.123254,0.16925,0.2245,0.3075,0.414769,0.719384
11,3110,661,19,0.095387,0.115688,0.1865,0.226,0.4485,0.608198,0.912166
11,3210,2346,172,0.123059,0.179838,0.38975,0.4825,0.59425,0.777832,1.0547
11,3221,965,194,0.152196,0.206595,0.286,0.357,0.419,0.506022,0.60285
11,3310,3641,519,0.421,0.458893,0.51,0.573,0.637,0.72816,0.969671
11,3321,227,12,0.29575,0.323101,0.35325,0.3895,0.45325,0.522916,0.61162
11,3521,2969,195,0.07,0.096,0.156,0.292,0.379,0.531169,0.849443
12,2310,2654,159,0.43497,0.509131,0.58,0.643,0.691,0.768869,0.817
12,3026,2050,111,0.09773,0.122514,0.172,0.247,0.315,0.40743,0.72248
12,3110,661,20,0.0954085,0.110391,0.166,0.225,0.44225,0.59782,0.903953
12,3121,692,2,0.18215,0.182621,0.18375,0.1855,0.18725,0.188379,0.18885
12,3210,2421,154,0.105579,0.160427,0.31525,0.4805,0.60375,0.782289,1.10579
12,3221,1057,160,0.173837,0.224207,0.2975,0.363,0.41525,0.521587,0.623907
12,3310,3912,430,0.419,0.466,0.52525,0.5855,0.637,0.710895,0.910882
12,3321,242,16,0.298932,0.331271,0.35325,0.4055,0.484,0.618187,0.67252
12,3521,3062,222,0.07,0.105,0.15975,0.28,0.3615,0.494192,0.652661
13,2310,2653,19,0.461898,0.503352,0.52,0.542,0.61,0.736181,0.803
13,3026,2088,75,0.090002,0.158404,0.227,0.267,0.355,0.489415,0.748998
13,3110,690,26,0.0955375,0.117653,0.17625,0.2545,0.485,0.802417,1.05785
13,3121,692,2,0.18215,0.182621,0.18375,0.1855,0.18725,0.188379,0.18885
13,3210,2436,120,0.106117,0.136887,0.24575,0.428,0.558,0.859334,1.62592
13,3221,1101,121,0.15622,0.203,0.275,0.337,0.392,0.494204,0.59256
13,3310,3965,236,0.416052,0.449,0.50175,0.555,0.625,0.701466,1.02748
13,3321,238,4,0.353353,0.376335,0.4315,0.517,0.6025,0.657665,0.680647
13,3521,3143,194,0.07,0.126,0.1985,0.296,0.39675,0.541762,0.742468
14,2310,2654,19,0.461898,0.503352,0.52,0.542,0.61,0.736181,0.803
14,3026,2113,35,0.158047,0.171095,0.2325,0.266,0.309,0.363,0.488994
14,3110,682,7,0.117387,0.118597,0.181,0.267,0.6775,0.939448,1.02775
14,3121,692,2,0.18215,0.182621,0.18375,0.1855,0.18725,0.188379,0.18885
14,3210,2469,55,0.101966,0.11758,0.2225,0.489,0.673,0.984816,2.17905
14,3221,1123,104,0.178861,0.256272,0.30375,0.35,0.39575,0.456639,0.61642
14,3310,4073,143,0.404371,0.433786,0.4815,0.54,0.611,0.701023,1.07167
14,3321,242,4,0.353353,0.376335,0.4315,0.517,0.6025,0.657665,0.680647
14,3521,3220,134,0.126,0.153797,0.22175,0.3035,0.3965,0.559609,0.768232
15,3026,2120,10,0.259354,0.263588,0.26925,0.2935,0.3585,0.487244,0.502969
15,3110,682,6,0.133115,0.174107,0.24825,0.3925,0.75725,0.958873,1.03246
15,3210,2506,56,0.268585,0.339149,0.42375,0.489,0.63525,0.97772,2.16369
15,3221,1152,133,0.251218,0.279834,0.321,0.363,0.406,0.500875,0.60405
15,3310,4150,71,0.40512,0.435836,0.468,0.537,0.6115,0.818965,1.18742
15,3521,3277,80,0.228859,0.264058,0.304,0.363,0.4905,0.624628,0.894713
