# mA,domain,n_blastholes,n_inference_pts,percentile(2.15),percentile(8.87),percentile(25),percentile(50),percentile(75),percentile(91.13),percentile(97.85)
4,2210,76,9,0.398912,0.423642,0.517,0.575,0.624,0.672398,0.750888
4,2310,641,350,0.522,0.566,0.61925,0.677,0.757,0.847175,0.985454
4,3016,67,43,0.355,0.424176,0.4815,0.68,1.0595,1.38261,2.03047
4,3026,1078,720,0.052,0.076,0.12775,0.185,0.25325,0.343225,0.495249
4,3110,630,473,0.06,0.0848664,0.125,0.171,0.231,0.303134,0.378224
4,3121,428,402,0.037486,0.058,0.07725,0.1,0.11575,0.153,0.204378
4,3210,1615,1080,0.129,0.195707,0.25,0.376,0.474,0.583293,0.706603
4,3221,300,148,0.0691605,0.0830778,0.1155,0.1615,0.256,0.397572,0.562333
4,3310,772,420,0.371017,0.424165,0.50075,0.5695,0.658,0.788669,0.994889
4,3321,14,6,0.489815,0.517367,0.595,0.704,0.717,0.862803,0.950835
4,3521,1352,918,0.029798,0.0482492,0.083,0.134,0.201,0.324003,0.448
4,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
5,2210,66,47,0.390714,0.428561,0.4445,0.492,0.5435,0.621915,0.779322
5,2310,837,656,0.432083,0.486,0.56475,0.636,0.717,0.795902,0.908835
5,3016,81,63,0.361993,0.428496,0.496,0.632,1.046,1.39402,2.11842
5,3026,1307,985,0.051156,0.0775616,0.127,0.185,0.255,0.339,0.470688
5,3110,634,540,0.061177,0.087,0.127,0.1695,0.22725,0.303,0.372938
5,3121,469,478,0.039,0.056,0.073,0.097,0.115,0.155,0.205
5,3210,1659,1436,0.129,0.195,0.261,0.379,0.476,0.581,0.696885
5,3221,418,263,0.068266,0.083,0.1165,0.174,0.2915,0.424042,0.577973
5,3310,1312,622,0.371,0.426,0.49625,0.565,0.65575,0.775835,1.003
5,3321,61,18,0.414378,0.492174,0.56,0.6605,0.694,0.821817,0.961091
5,3521,1750,1289,0.035,0.0491569,0.087,0.144,0.219,0.338,0.50859
5,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
6,2210,114,50,0.391214,0.430424,0.44875,0.4925,0.542,0.614996,0.771024
6,2310,1249,864,0.43,0.488,0.565,0.628,0.713,0.792452,0.903782
6,3016,86,63,0.361993,0.428496,0.496,0.632,1.046,1.39402,2.11842
6,3026,1367,1215,0.052,0.0836818,0.133,0.192,0.267,0.352318,0.480495
6,3110,660,546,0.061435,0.0873415,0.127,0.169,0.227,0.301293,0.37139
6,3121,518,506,0.039,0.056,0.073,0.096,0.115,0.155413,0.205142
6,3210,1895,1545,0.128,0.192,0.257,0.378,0.477,0.584,0.705
6,3221,468,368,0.0726715,0.0925529,0.12575,0.1895,0.31825,0.458447,0.593518
6,3310,2000,1032,0.373166,0.431899,0.499,0.565,0.652,0.76455,0.953
6,3321,59,55,0.241508,0.352955,0.397,0.503,0.574,0.698835,0.919213
6,3521,1874,1570,0.036,0.054,0.096,0.157,0.235,0.37451,0.596576
6,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
7,2210,109,75,0.387728,0.428,0.4505,0.493,0.5435,0.626617,0.751178
7,2310,1559,1213,0.433,0.498,0.566,0.629,0.715,0.798,0.926652
7,3016,86,71,0.365605,0.426463,0.499,0.632,1.03,1.40215,2.45352
7,3026,1653,1275,0.052391,0.086,0.133,0.192,0.2665,0.354992,0.485263
7,3110,660,564,0.062209,0.0879381,0.12675,0.169,0.227,0.29831,0.367373
7,3121,637,567,0.039,0.055,0.071,0.095,0.115,0.155,0.205831
7,3210,2025,1716,0.128873,0.19412,0.26775,0.3835,0.486,0.593,0.71
7,3221,631,383,0.069,0.0897668,0.123,0.183,0.3115,0.458,0.590787
7,3310,2351,1505,0.373336,0.435,0.499,0.57,0.652,0.757,0.97428
7,3321,143,55,0.241508,0.352955,0.397,0.503,0.574,0.698835,0.919213
7,3521,2319,1687,0.036,0.053,0.095,0.156,0.234,0.363081,0.597545
7,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
8,2210,130,77,0.388072,0.428,0.454,0.498,0.544,0.625553,0.749372
8,2310,1844,1548,0.433,0.5,0.569,0.638,0.709,0.794562,0.900437
8,3016,86,71,0.365605,0.426463,0.499,0.632,1.03,1.40215,2.45352
8,3026,1794,1537,0.057,0.0872432,0.14,0.198,0.272,0.354514,0.478928
8,3110,661,564,0.062209,0.0879381,0.12675,0.169,0.227,0.29831,0.367373
8,3121,666,640,0.0397385,0.055,0.071,0.095,0.115,0.155,0.207784
8,3210,2153,1858,0.128,0.194,0.2695,0.384,0.48475,0.588,0.707
8,3221,699,513,0.073,0.0954144,0.135,0.203,0.322,0.458,0.590992
8,3310,2894,1775,0.371,0.431,0.493,0.564,0.6465,0.756292,0.995
8,3321,195,119,0.262222,0.3254,0.386,0.463,0.574,0.753,0.894021
8,3521,2599,2059,0.037,0.056,0.103,0.167,0.248,0.405,0.677
8,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
9,2210,121,87,0.389792,0.428,0.4585,0.502,0.5495,0.626231,0.740342
9,2310,2150,1834,0.423409,0.496,0.567,0.6375,0.711,0.797,0.920181
9,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
9,3026,1984,1644,0.0573245,0.089,0.142,0.202,0.27325,0.355,0.485728
9,3110,661,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
9,3121,685,661,0.04019,0.055542,0.071,0.095,0.115,0.155,0.20681
9,3210,2216,1956,0.127,0.194,0.273,0.389,0.489,0.6,0.739902
9,3221,804,607,0.075,0.0997522,0.144,0.236,0.367,0.511991,0.639623
9,3310,3069,2176,0.369525,0.431,0.494,0.5635,0.643,0.748,0.96575
9,3321,208,159,0.259397,0.319015,0.386,0.465,0.573,0.753,0.955326
9,3521,2718,2305,0.038,0.059,0.108,0.1745,0.269,0.419,0.693369
9,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
10,2210,123,91,0.39048,0.428,0.461,0.504,0.5615,0.641017,0.73673
10,2310,2345,2134,0.429,0.498,0.568,0.637,0.709,0.793,0.906
10,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
10,3026,1990,1814,0.058,0.094,0.144,0.203,0.273,0.356187,0.48002
10,3110,661,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
10,3121,696,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
10,3210,2353,2029,0.121,0.19,0.269,0.386,0.487,0.596116,0.736398
